,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,5.21856,55.5693,15.4817,0.0,18.949,5.21856,30.0,23.25115,,,,,,
1,4.17662,55.5189,15.6196,0.0,18.8615,4.17662,30.0,4.35042,55.4383,15.8407,0.0,18.721,4.35042,130.0
2,28.73532,3.71935,62.0221,0.916121,0.0,28.894,3.71935,30.0,,,,,,
3,34.21955,4.60255,62.081,1.05729,0.0,28.9763,4.60255,30.0,,,,,,
4,39.70373,5.382,55.4896,15.6998,0.0,18.8106,5.382,30.0,,,,,,
5,45.18083,4.33782,55.4377,15.8423,0.0,18.72,4.33782,30.0,,,,,,
6,4.49565,55.3705,16.0271,0.0,18.6024,4.49565,130.0,45.20496,,,,,,
7,4.50722,55.3945,15.961,0.0,18.6445,4.50722,30.0,50.78725,,,,,,
8,3.84271,62.0979,1.09782,0.0,29.0,3.84271,30.0,50.81137,,,,,,
9,3.82785,62.1286,1.17148,0.0,29.0429,3.82785,30.0,50.84972,,,,,,
10,3.77219,62.1434,1.20703,0.0,29.0636,3.77219,30.0,56.41495,,,,,,
11,4.65329,62.2033,1.3504,0.0,29.1471,4.65329,30.0,56.4533,,,,,,
12,4.70913,62.1892,1.31669,0.0,29.1274,4.70913,30.0,56.47742,,,,,,
13,4.72448,62.1586,1.24343,0.0,29.0848,4.72448,30.0,62.05971,,,,,,
14,5.53988,55.4474,15.8157,0.0,18.7369,5.53988,30.0,62.08384,,,,,,
15,5.52908,55.4232,15.8822,0.0,18.6946,5.52908,30.0,62.12218,,,,,,
16,5.46771,55.4062,15.9289,0.0,18.6649,5.46771,30.0,67.68741,,,,,,
17,4.43367,55.3542,16.072,0.0,18.5738,4.43367,30.0,67.71863,,,,,,
18,4.48421,55.3674,16.0356,0.0,18.597,4.48421,30.0,4.48025,55.3936,15.9634,0.0,18.6429,4.48025,130.0
19,65.71863,4.48025,55.3936,15.9634,0.0,18.6429,4.48025,40.0,,,,,,
20,0.0,3.97507,55.5645,15.4949,0.0,18.9407,3.97507,130.0,,,,,,
21,2.0,3.97507,55.5645,15.4949,0.0,18.9407,3.97507,40.0,,,,,,
22,2.09416,4.08296,55.6381,15.2938,0.0,19.0682,4.08296,30.0,,,,,,
23,2.21633,4.06782,55.7647,14.9486,0.0,19.2867,4.06782,30.0,,,,,,
